month,beginning_subscribers,expected_new_subscribers,expected_organic_churn,contribution_margin_pct,cac_per_sub_usd,standard_price_today_usd,standard_price_proposed_usd,avg_remaining_tenure_months
2026-05,4000000,90000,88000,0.62,35,12.99,14.99,30
2026-06,4002000,90000,88044,0.62,35,12.99,14.99,30
2026-07,4003956,90000,88087,0.62,35,12.99,14.99,30
2026-08,4005869,90000,88129,0.62,35,12.99,14.99,30
2026-09,4007740,90000,88170,0.62,35,12.99,14.99,30
2026-10,4009570,90000,88210,0.62,35,12.99,14.99,30
2026-11,4011360,90000,88249,0.62,35,12.99,14.99,30
2026-12,4013111,90000,88288,0.62,35,12.99,14.99,30
2027-01,4014823,90000,88326,0.62,35,12.99,14.99,30
2027-02,4016497,90000,88362,0.62,35,12.99,14.99,30
2027-03,4018135,90000,88398,0.62,35,12.99,14.99,30
2027-04,4019737,90000,88434,0.62,35,12.99,14.99,30
